seed,method,best_val_nrmse,final_val_nrmse,final_test_nrmse
0,ResDyNet-Random,0.3854193311689823,0.38951382014669084,0.24018205139615528
0,ResDyNet-LinearInit,0.22621470213744646,0.27869345553487285,0.22519695331553233
1,ResDyNet-Random,0.27796700071461744,0.3635399786432264,0.17749465223458724
1,ResDyNet-LinearInit,0.21256408402984503,0.22713322354622367,0.1734813823455028
2,ResDyNet-Random,0.2268206152808347,0.2614590017631167,0.1407648450467398
2,ResDyNet-LinearInit,0.19753551263813496,0.24999586695774895,0.17088953724570038
3,ResDyNet-Random,0.35150433091017436,0.37443487729084407,0.18804342537950822
3,ResDyNet-LinearInit,0.24776944321728392,0.3269478383064885,0.19168684720188592
4,ResDyNet-Random,0.39437099664405706,0.43102780294331916,0.25805851825888254
4,ResDyNet-LinearInit,0.2091462492699687,0.25238412654623893,0.177364981712345
5,ResDyNet-Random,0.2834440194369415,0.3330261395752622,0.1737558869678145
5,ResDyNet-LinearInit,0.22895571740336987,0.25310425575109535,0.16629408703060533
6,ResDyNet-Random,0.3326193686910453,0.449119437390775,0.2799882610395609
6,ResDyNet-LinearInit,0.19886256350043338,0.28428702838354925,0.15989703342518746
