seed,method,best_val_nrmse,final_val_nrmse,final_test_nrmse,nonlinear_parameters
0,ResDyNet-ResidualEvolver,0.2748829407689816,0.30287306929476415,0.2427528967780279,10383
0,ResDyNet-MLPEvolver,0.3044334652497365,0.3263233950602824,0.1938075943303514,10424
1,ResDyNet-ResidualEvolver,0.19541029261683288,0.23447692224068437,0.18229141115585548,10383
1,ResDyNet-MLPEvolver,0.22148555724044877,0.28072083830045647,0.1997124208583186,10424
2,ResDyNet-ResidualEvolver,0.263057792957848,0.341408730636091,0.22322704758798972,10383
2,ResDyNet-MLPEvolver,0.27656746306213364,0.3275684324902857,0.21594519736776,10424
3,ResDyNet-ResidualEvolver,0.2594608627114501,0.28727915963418127,0.19806771712259377,10383
3,ResDyNet-MLPEvolver,0.27339417727912935,0.32957949705924394,0.21951228903963066,10424
4,ResDyNet-ResidualEvolver,0.27232681442481255,0.316305505916856,0.19206993969861128,10383
4,ResDyNet-MLPEvolver,0.24497112384341516,0.3165883649614535,0.21108150920936844,10424
5,ResDyNet-ResidualEvolver,0.206223403461091,0.2664756256285408,0.16180011483918763,10383
5,ResDyNet-MLPEvolver,0.26588241471868895,0.299466396757123,0.2082261281176059,10424
6,ResDyNet-ResidualEvolver,0.2208717220678251,0.28977859098665215,0.15639464433814593,10383
6,ResDyNet-MLPEvolver,0.2204463047748714,0.2663123805171598,0.1956599228939589,10424
