seed,checkpoint_epoch,trajectory,kind,E_aff_enc,E_aff_roll,affine_rmse_enc,affine_rmse_roll,affine_r2_enc,affine_r2_roll,propagated_output_nrmse
2,58,random_steps_nominal,nominal,1.3286596185935196e-05,9.526258509140462e-06,8.518792310496792e-05,6.10786082688719e-05,1.0,1.0,1.290139971388271e-05
2,58,random_steps_fast,nominal,3.6852245102636516e-05,9.949232662620489e-06,0.0001366504147881642,3.689253207994625e-05,1.0,1.0,1.6540659999009222e-05
2,58,random_steps_slow,nominal,9.244058674084954e-06,8.325838280143216e-06,5.041250915382989e-05,4.540522786555812e-05,1.0,1.0,9.423499250260647e-06
2,58,multisine,nominal,6.540136382682249e-06,1.0195347385888454e-05,2.1809046302223578e-05,3.399799606995657e-05,1.0,1.0,1.208328740176512e-05
2,58,chirp,nominal,1.1339164302626159e-05,1.0754070899565704e-05,5.351521758711897e-05,5.075399167253636e-05,1.0,1.0,1.4290922081272583e-05
2,58,constant_positive,stress_ood,3.5653451959660742e-06,8.772701221460011e-06,1.559775773785077e-05,3.837844997178763e-05,1.0,0.9999999403953552,0.00015634173178113997
2,58,constant_negative,stress_ood,1.7920714299179963e-06,7.935030225780793e-06,8.001267815416213e-06,3.542846388882026e-05,1.0,1.0,0.00015963408804964274
2,58,free_response,stress_ood,6.7892913648393e-05,3.0167004297254607e-05,2.101836616930086e-05,9.339397365693003e-06,1.0,1.0,0.0001257332623936236
2,58,random_steps_large_amplitude,stress_ood,2.040761501120869e-05,1.3618305274576414e-05,0.0001941358350450173,0.00012955139391124249,1.0,1.0,1.6777110431576148e-05
2,58,combined,nominal,7.445225492119789e-06,9.406646313436795e-06,3.331371408421546e-05,4.209043618175201e-05,1.0,1.0,1.3478627806762233e-05
