seed,method,threshold,hit,epoch,updates,wall_time_sec
0,ResDyNet-ResidualEvolver,0.4,True,4,48,1.1365776669990737
0,ResDyNet-ResidualEvolver,0.3,True,51,612,14.296023792005144
0,ResDyNet-ResidualEvolver,0.25,False,,,
0,ResDyNet-ResidualEvolver,0.2,False,,,
0,ResDyNet-MLPEvolver,0.4,True,10,120,1.729858917009551
0,ResDyNet-MLPEvolver,0.3,False,,,
0,ResDyNet-MLPEvolver,0.25,False,,,
0,ResDyNet-MLPEvolver,0.2,False,,,
1,ResDyNet-ResidualEvolver,0.4,True,2,24,0.5476205839950126
1,ResDyNet-ResidualEvolver,0.3,True,6,72,1.6470040419953875
1,ResDyNet-ResidualEvolver,0.25,True,35,420,9.684942458989099
1,ResDyNet-ResidualEvolver,0.2,True,56,672,15.447139458992751
1,ResDyNet-MLPEvolver,0.4,True,4,48,0.7018379579822067
1,ResDyNet-MLPEvolver,0.3,True,21,252,3.759700291993795
1,ResDyNet-MLPEvolver,0.25,True,53,636,9.26106829199125
1,ResDyNet-MLPEvolver,0.2,False,,,
2,ResDyNet-ResidualEvolver,0.4,True,8,96,2.1814991669962183
2,ResDyNet-ResidualEvolver,0.3,True,8,96,2.1814991669962183
2,ResDyNet-ResidualEvolver,0.25,False,,,
2,ResDyNet-ResidualEvolver,0.2,False,,,
2,ResDyNet-MLPEvolver,0.4,True,3,36,0.5568777500011493
2,ResDyNet-MLPEvolver,0.3,True,28,336,5.059853959013708
2,ResDyNet-MLPEvolver,0.25,False,,,
2,ResDyNet-MLPEvolver,0.2,False,,,
3,ResDyNet-ResidualEvolver,0.4,True,8,96,2.394687874999363
3,ResDyNet-ResidualEvolver,0.3,True,33,396,9.26564500000677
3,ResDyNet-ResidualEvolver,0.25,False,,,
3,ResDyNet-ResidualEvolver,0.2,False,,,
3,ResDyNet-MLPEvolver,0.4,True,4,48,0.6683323750039563
3,ResDyNet-MLPEvolver,0.3,True,36,432,6.228750000009313
3,ResDyNet-MLPEvolver,0.25,False,,,
3,ResDyNet-MLPEvolver,0.2,False,,,
4,ResDyNet-ResidualEvolver,0.4,True,3,36,0.7944791250047274
4,ResDyNet-ResidualEvolver,0.3,True,5,60,1.3324645000102464
4,ResDyNet-ResidualEvolver,0.25,False,,,
4,ResDyNet-ResidualEvolver,0.2,False,,,
4,ResDyNet-MLPEvolver,0.4,True,4,48,0.6744185000134166
4,ResDyNet-MLPEvolver,0.3,True,24,288,4.072565540991491
4,ResDyNet-MLPEvolver,0.25,True,53,636,8.9289409579942
4,ResDyNet-MLPEvolver,0.2,False,,,
5,ResDyNet-ResidualEvolver,0.4,True,5,60,1.4235580840031616
5,ResDyNet-ResidualEvolver,0.3,True,11,132,3.1143844589823857
5,ResDyNet-ResidualEvolver,0.25,True,29,348,8.118065958988154
5,ResDyNet-ResidualEvolver,0.2,False,,,
5,ResDyNet-MLPEvolver,0.4,True,5,60,0.8666264170024078
5,ResDyNet-MLPEvolver,0.3,True,21,252,3.63968045799993
5,ResDyNet-MLPEvolver,0.25,False,,,
5,ResDyNet-MLPEvolver,0.2,False,,,
6,ResDyNet-ResidualEvolver,0.4,True,3,36,0.8132805839995854
6,ResDyNet-ResidualEvolver,0.3,True,17,204,4.630017834017053
6,ResDyNet-ResidualEvolver,0.25,True,18,216,4.901164792012423
6,ResDyNet-ResidualEvolver,0.2,False,,,
6,ResDyNet-MLPEvolver,0.4,True,5,60,0.8337410000094678
6,ResDyNet-MLPEvolver,0.3,True,5,60,0.8337410000094678
6,ResDyNet-MLPEvolver,0.25,True,10,120,1.6649915410089307
6,ResDyNet-MLPEvolver,0.2,False,,,
