seed,method,threshold,hit,epoch,updates,wall_time_sec
0,ResDyNet-ResidualEvolver,0.4,True,4,48,1.1527797500020824
0,ResDyNet-ResidualEvolver,0.3,True,51,612,14.455676334007876
0,ResDyNet-ResidualEvolver,0.25,False,,,
0,ResDyNet-ResidualEvolver,0.2,False,,,
0,ResDyNet-MLPEvolver,0.4,True,10,120,1.6665977500088047
0,ResDyNet-MLPEvolver,0.3,True,69,828,11.53263295898796
0,ResDyNet-MLPEvolver,0.25,False,,,
0,ResDyNet-MLPEvolver,0.2,False,,,
1,ResDyNet-ResidualEvolver,0.4,True,2,24,0.5880641670082696
1,ResDyNet-ResidualEvolver,0.3,True,6,72,1.7733257919899188
1,ResDyNet-ResidualEvolver,0.25,True,35,420,9.825504584005103
1,ResDyNet-ResidualEvolver,0.2,True,56,672,15.441461125010392
1,ResDyNet-MLPEvolver,0.4,True,4,48,0.6849242090247571
1,ResDyNet-MLPEvolver,0.3,True,21,252,3.566844334010966
1,ResDyNet-MLPEvolver,0.25,True,53,636,9.063400042010471
1,ResDyNet-MLPEvolver,0.2,False,,,
2,ResDyNet-ResidualEvolver,0.4,True,8,96,2.205472458008444
2,ResDyNet-ResidualEvolver,0.3,True,8,96,2.205472458008444
2,ResDyNet-ResidualEvolver,0.25,True,157,1884,42.92916470800992
2,ResDyNet-ResidualEvolver,0.2,False,,,
2,ResDyNet-MLPEvolver,0.4,True,3,36,0.5150751670007594
2,ResDyNet-MLPEvolver,0.3,True,28,336,4.766153500007931
2,ResDyNet-MLPEvolver,0.25,False,,,
2,ResDyNet-MLPEvolver,0.2,False,,,
