seed,checkpoint_epoch,trajectory,kind,E_aff_enc,E_aff_roll,affine_rmse_enc,affine_rmse_roll,affine_r2_enc,affine_r2_roll,propagated_output_nrmse
0,0,random_steps_nominal,nominal,5.315122962201713e-06,2.2699190594721586e-05,2.9122945761628216e-06,1.2437252735253423e-05,1.0,1.0,0.00021015274978708476
0,0,random_steps_fast,nominal,1.0388961527496576e-05,2.8465487048379146e-05,3.1133056381804636e-06,8.530023478670046e-06,1.0,1.0,0.00040076381992548704
0,0,random_steps_slow,nominal,4.693008577305591e-06,2.0484087144723162e-05,2.4204216515499866e-06,1.0564748663455248e-05,1.0,1.0,0.00021326712158042938
0,0,multisine,nominal,4.823335075343493e-06,2.7099604267277755e-05,1.5042801351228263e-06,8.451817848253995e-06,1.0,1.0,0.0003549628017935902
0,0,chirp,nominal,8.279896064777859e-06,2.5284511139034294e-05,3.146204335280345e-06,9.607748324924614e-06,1.0,1.0,0.0003164182708133012
0,0,constant_positive,stress_ood,5.755372967541916e-06,2.1830343030160293e-05,2.720134261835483e-06,1.0319936336600222e-05,1.0,0.9999997615814209,0.005563824437558651
0,0,constant_negative,stress_ood,5.608068022411317e-06,2.128609048668295e-05,2.7042872261517914e-06,1.0262472642352805e-05,1.0,0.9999998807907104,0.0029298251029103994
0,0,free_response,stress_ood,7.110308615665417e-06,0.00018607123638503253,2.230660669511053e-07,5.835239790030755e-06,1.0,0.9999999403953552,0.004060955718159676
0,0,random_steps_large_amplitude,stress_ood,4.967901531927055e-06,2.0696232240879908e-05,3.96777886635391e-06,1.6529957065358758e-05,1.0,1.0,0.00014961986744310707
0,0,combined,nominal,3.7358561257860856e-06,2.3264972696779296e-05,1.4602703686250607e-06,9.093865628528874e-06,1.0,1.0,0.0002925735607277602
1,0,random_steps_nominal,nominal,5.315122962201713e-06,2.2699190594721586e-05,2.9122945761628216e-06,1.2437252735253423e-05,1.0,1.0,0.00021015274978708476
1,0,random_steps_fast,nominal,1.0388961527496576e-05,2.8465487048379146e-05,3.1133056381804636e-06,8.530023478670046e-06,1.0,1.0,0.00040076381992548704
1,0,random_steps_slow,nominal,4.693008577305591e-06,2.0484087144723162e-05,2.4204216515499866e-06,1.0564748663455248e-05,1.0,1.0,0.00021326712158042938
1,0,multisine,nominal,4.823335075343493e-06,2.7099604267277755e-05,1.5042801351228263e-06,8.451817848253995e-06,1.0,1.0,0.0003549628017935902
1,0,chirp,nominal,8.279896064777859e-06,2.5284511139034294e-05,3.146204335280345e-06,9.607748324924614e-06,1.0,1.0,0.0003164182708133012
1,0,constant_positive,stress_ood,5.755372967541916e-06,2.1830343030160293e-05,2.720134261835483e-06,1.0319936336600222e-05,1.0,0.9999997615814209,0.005563824437558651
1,0,constant_negative,stress_ood,5.608068022411317e-06,2.128609048668295e-05,2.7042872261517914e-06,1.0262472642352805e-05,1.0,0.9999998807907104,0.0029298251029103994
1,0,free_response,stress_ood,7.110308615665417e-06,0.00018607123638503253,2.230660669511053e-07,5.835239790030755e-06,1.0,0.9999999403953552,0.004060955718159676
1,0,random_steps_large_amplitude,stress_ood,4.967901531927055e-06,2.0696232240879908e-05,3.96777886635391e-06,1.6529957065358758e-05,1.0,1.0,0.00014961986744310707
1,0,combined,nominal,3.7358561257860856e-06,2.3264972696779296e-05,1.4602703686250607e-06,9.093865628528874e-06,1.0,1.0,0.0002925735607277602
