seed,method,threshold,hit,epoch,updates,wall_time_sec
0,ResDyNet-Random,0.05,False,,,
0,ResDyNet-Random,0.03,False,,,
0,ResDyNet-Random,0.02,False,,,
0,ResDyNet-LinearInit,0.05,False,,,
0,ResDyNet-LinearInit,0.03,False,,,
0,ResDyNet-LinearInit,0.02,False,,,
1,ResDyNet-Random,0.05,False,,,
1,ResDyNet-Random,0.03,False,,,
1,ResDyNet-Random,0.02,False,,,
1,ResDyNet-LinearInit,0.05,False,,,
1,ResDyNet-LinearInit,0.03,False,,,
1,ResDyNet-LinearInit,0.02,False,,,
2,ResDyNet-Random,0.05,False,,,
2,ResDyNet-Random,0.03,False,,,
2,ResDyNet-Random,0.02,False,,,
2,ResDyNet-LinearInit,0.05,False,,,
2,ResDyNet-LinearInit,0.03,False,,,
2,ResDyNet-LinearInit,0.02,False,,,
3,ResDyNet-Random,0.05,False,,,
3,ResDyNet-Random,0.03,False,,,
3,ResDyNet-Random,0.02,False,,,
3,ResDyNet-LinearInit,0.05,False,,,
3,ResDyNet-LinearInit,0.03,False,,,
3,ResDyNet-LinearInit,0.02,False,,,
4,ResDyNet-Random,0.05,False,,,
4,ResDyNet-Random,0.03,False,,,
4,ResDyNet-Random,0.02,False,,,
4,ResDyNet-LinearInit,0.05,False,,,
4,ResDyNet-LinearInit,0.03,False,,,
4,ResDyNet-LinearInit,0.02,False,,,
5,ResDyNet-Random,0.05,False,,,
5,ResDyNet-Random,0.03,False,,,
5,ResDyNet-Random,0.02,False,,,
5,ResDyNet-LinearInit,0.05,False,,,
5,ResDyNet-LinearInit,0.03,False,,,
5,ResDyNet-LinearInit,0.02,False,,,
6,ResDyNet-Random,0.05,False,,,
6,ResDyNet-Random,0.03,False,,,
6,ResDyNet-Random,0.02,False,,,
6,ResDyNet-LinearInit,0.05,False,,,
6,ResDyNet-LinearInit,0.03,False,,,
6,ResDyNet-LinearInit,0.02,False,,,
