seed,method,epoch,updates,wall_time_sec,val_nrmse
0,ResDyNet-Random,0,0,0.0,1.1263934497160195
0,ResDyNet-Random,1,12,0.2918336669972632,1.26481744210778
0,ResDyNet-Random,2,24,0.5707935829996131,1.0200025828587884
0,ResDyNet-Random,3,36,0.8500638749974314,1.0246222274261758
0,ResDyNet-Random,4,48,1.1301119580166414,1.0247098621695003
0,ResDyNet-Random,5,60,1.4082340000022668,1.0288804925225814
0,ResDyNet-Random,6,72,1.686285375006264,1.0089509534000443
0,ResDyNet-Random,7,84,1.9638919999997597,0.9216596066903707
0,ResDyNet-Random,8,96,2.2414940420130733,0.8472294106467899
0,ResDyNet-Random,9,108,2.5187566250097007,0.5348542873805526
0,ResDyNet-Random,10,120,2.795262708008522,0.7535999402300775
0,ResDyNet-Random,11,132,3.0733269579941407,0.5097882113726696
0,ResDyNet-Random,12,144,3.34989158299868,0.5568353115786049
0,ResDyNet-Random,13,156,3.6424647500098217,0.48377869306874116
0,ResDyNet-Random,14,168,3.9501833750109654,0.4822259017414313
0,ResDyNet-Random,15,180,4.228171374998055,0.4858906772496285
0,ResDyNet-Random,16,192,4.504784666991327,0.47409827678952193
0,ResDyNet-Random,17,204,4.784272791992407,0.46544849515851244
0,ResDyNet-Random,18,216,5.061825167009374,0.4168554157450484
0,ResDyNet-Random,19,228,5.337994166999124,0.5119341578455429
0,ResDyNet-Random,20,240,5.615808250004193,0.3963484534477398
0,ResDyNet-Random,21,252,5.8921996249991935,0.5360610632752932
0,ResDyNet-Random,22,264,6.16911008299212,0.4409092057165607
0,ResDyNet-Random,23,276,6.445575582998572,0.41737638595119486
0,ResDyNet-Random,24,288,6.721385792014189,0.48779430916541366
0,ResDyNet-Random,25,300,6.998720458010212,0.5524027321794869
0,ResDyNet-Random,26,312,7.2742670830048155,0.43730999823531336
0,ResDyNet-Random,27,324,7.551618792000227,0.5426236463637171
0,ResDyNet-Random,28,336,7.829927917016903,0.490730759797904
0,ResDyNet-Random,29,348,8.10758483299287,0.5459016627849251
0,ResDyNet-Random,30,360,8.383588124997914,0.4701184059557617
0,ResDyNet-Random,31,372,8.660289999999804,0.5678436188219068
0,ResDyNet-Random,32,384,8.936036667000735,0.5042378380123975
0,ResDyNet-Random,33,396,9.211259750009049,0.5085833824950744
0,ResDyNet-Random,34,408,9.487276208004914,0.45207065678860076
0,ResDyNet-Random,35,420,9.762360791995889,0.46834648666762707
0,ResDyNet-Random,36,432,10.038525083014974,0.429447721626846
0,ResDyNet-Random,37,444,10.313719124998897,0.4784423490491899
0,ResDyNet-Random,38,456,10.588799042016035,0.47633615432931325
0,ResDyNet-Random,39,468,10.86457687499933,0.44481875527348347
0,ResDyNet-Random,40,480,11.140595500008203,0.4476177989668678
0,ResDyNet-Random,41,492,11.414860082993982,0.46640747015754064
0,ResDyNet-Random,42,504,11.692124708002666,0.44170509541551595
0,ResDyNet-Random,43,516,11.969605042017065,0.46032762047502707
0,ResDyNet-Random,44,528,12.245802249992266,0.4485656220760016
0,ResDyNet-Random,45,540,12.52073499999824,0.45322815625661034
0,ResDyNet-Random,46,552,12.796347750001587,0.4114180268286678
0,ResDyNet-Random,47,564,13.07157520801411,0.45523504624235445
0,ResDyNet-Random,48,576,13.345574042003136,0.4488233558813965
0,ResDyNet-Random,49,588,13.620665458001895,0.4295400256402052
0,ResDyNet-Random,50,600,13.896100625017425,0.3854193311689823
0,ResDyNet-Random,51,612,14.170936083013657,0.428768573170986
0,ResDyNet-Random,52,624,14.444801125006052,0.4396485954162841
0,ResDyNet-Random,53,636,14.720314875012264,0.43939564115952534
0,ResDyNet-Random,54,648,14.995825582998805,0.39834234581448935
0,ResDyNet-Random,55,660,15.269672166992677,0.4305937528566944
0,ResDyNet-Random,56,672,15.544976042001508,0.5250150984144365
0,ResDyNet-Random,57,684,15.821780708007282,0.47349578324435376
0,ResDyNet-Random,58,696,16.098501667001983,0.3856698806101903
0,ResDyNet-Random,59,708,16.372300000017276,0.4272895969425218
0,ResDyNet-Random,60,720,16.64846708299592,0.38951382014669084
0,ResDyNet-LinearInit,0,0,0.0,0.5877139302058413
0,ResDyNet-LinearInit,1,12,0.27396670798771083,0.7262141413251305
0,ResDyNet-LinearInit,2,24,0.5485511249862611,0.6947908937834414
0,ResDyNet-LinearInit,3,36,0.824494207976386,0.5061411769201212
0,ResDyNet-LinearInit,4,48,1.1001061249990016,0.47891214156642953
0,ResDyNet-LinearInit,5,60,1.3758747079991736,0.3269228716129263
0,ResDyNet-LinearInit,6,72,1.6502862499910407,0.48660009887080247
0,ResDyNet-LinearInit,7,84,1.9263194160012063,0.31632361047559643
0,ResDyNet-LinearInit,8,96,2.2010690000024624,0.37035068522868947
0,ResDyNet-LinearInit,9,108,2.4764783330028877,0.37404476837432704
0,ResDyNet-LinearInit,10,120,2.7519458749738988,0.42247677536908806
0,ResDyNet-LinearInit,11,132,3.028817540995078,0.34263070483806024
0,ResDyNet-LinearInit,12,144,3.3055077499884646,0.3907109969320867
0,ResDyNet-LinearInit,13,156,3.5793360829993617,0.3479265115964202
0,ResDyNet-LinearInit,14,168,3.853435165976407,0.3110845027058461
0,ResDyNet-LinearInit,15,180,4.12916016599047,0.3900962320100502
0,ResDyNet-LinearInit,16,192,4.405674165987875,0.3424761285005837
0,ResDyNet-LinearInit,17,204,4.679550915985601,0.3741018355187927
0,ResDyNet-LinearInit,18,216,4.954640999989351,0.32885170203618613
0,ResDyNet-LinearInit,19,228,5.236220374994446,0.3870691588156046
0,ResDyNet-LinearInit,20,240,5.515134457993554,0.31943405120641566
0,ResDyNet-LinearInit,21,252,5.801368249987718,0.3509816997060293
0,ResDyNet-LinearInit,22,264,6.076488833001349,0.38396626790142796
0,ResDyNet-LinearInit,23,276,6.350737040978856,0.38525893054699034
0,ResDyNet-LinearInit,24,288,6.623598999984097,0.40086807152067094
0,ResDyNet-LinearInit,25,300,6.898798832989996,0.34567688730750107
0,ResDyNet-LinearInit,26,312,7.175083457987057,0.37212989377029937
0,ResDyNet-LinearInit,27,324,7.451080332975835,0.36825824456625533
0,ResDyNet-LinearInit,28,336,7.726194040995324,0.3430632412620358
0,ResDyNet-LinearInit,29,348,8.002331582974875,0.3477750401218464
0,ResDyNet-LinearInit,30,360,8.277971332980087,0.3959061489144582
0,ResDyNet-LinearInit,31,372,8.5510741249891,0.3331293410223939
0,ResDyNet-LinearInit,32,384,8.824034207995282,0.4533291764542067
0,ResDyNet-LinearInit,33,396,9.098013332986739,0.35649473225625317
0,ResDyNet-LinearInit,34,408,9.372710750001715,0.3154070527562515
0,ResDyNet-LinearInit,35,420,9.645518082979834,0.33473836795097783
0,ResDyNet-LinearInit,36,432,9.920423790987115,0.3322068836047183
0,ResDyNet-LinearInit,37,444,10.19523820799077,0.33975363741910486
0,ResDyNet-LinearInit,38,456,10.469235208001919,0.3295217417928545
0,ResDyNet-LinearInit,39,468,10.74394945797394,0.3133212601949619
0,ResDyNet-LinearInit,40,480,11.018968999997014,0.3045058303403761
0,ResDyNet-LinearInit,41,492,11.295627207990037,0.3209303437299824
0,ResDyNet-LinearInit,42,504,11.569002957985504,0.302275541704981
0,ResDyNet-LinearInit,43,516,11.84376541597885,0.311791575902163
0,ResDyNet-LinearInit,44,528,12.117196707986295,0.3089114922284617
0,ResDyNet-LinearInit,45,540,12.392078249977203,0.2954315564506414
0,ResDyNet-LinearInit,46,552,12.665586540999357,0.3670273520447137
0,ResDyNet-LinearInit,47,564,12.94120324999676,0.33678056025138375
0,ResDyNet-LinearInit,48,576,13.214863749977667,0.3057194848041511
0,ResDyNet-LinearInit,49,588,13.48869137497968,0.28462289900116045
0,ResDyNet-LinearInit,50,600,13.762038874992868,0.2812268373521273
0,ResDyNet-LinearInit,51,612,14.061277790984605,0.2824712240232314
0,ResDyNet-LinearInit,52,624,14.349926957977004,0.24401466470465752
0,ResDyNet-LinearInit,53,636,14.62898616597522,0.26157324512566466
0,ResDyNet-LinearInit,54,648,14.904868249985157,0.2872245643861084
0,ResDyNet-LinearInit,55,660,15.180392582988134,0.287295920120787
0,ResDyNet-LinearInit,56,672,15.454672207997646,0.2770764378908295
0,ResDyNet-LinearInit,57,684,15.728736457997002,0.2861792789604507
0,ResDyNet-LinearInit,58,696,16.000674082984915,0.22621470213744646
0,ResDyNet-LinearInit,59,708,16.27397141599795,0.27040050069264654
0,ResDyNet-LinearInit,60,720,16.546742457983783,0.27869345553487285
1,ResDyNet-Random,0,0,0.0,1.1519070319931188
1,ResDyNet-Random,1,12,0.2718008329975419,1.2063786934588672
1,ResDyNet-Random,2,24,0.5444569999817759,0.8192195742883471
1,ResDyNet-Random,3,36,0.8180352909839712,0.7993524509344342
1,ResDyNet-Random,4,48,1.0914754579716828,0.6246073945360185
1,ResDyNet-Random,5,60,1.3638143749849405,0.5122952217876248
1,ResDyNet-Random,6,72,1.6378352499741595,0.5077348787143563
1,ResDyNet-Random,7,84,1.9124826249899343,0.38368425466792844
1,ResDyNet-Random,8,96,2.185718457971234,0.39833356146164894
1,ResDyNet-Random,9,108,2.4607243329810444,0.416803451737935
1,ResDyNet-Random,10,120,2.735305124981096,0.4573277179676164
1,ResDyNet-Random,11,132,3.007852374983486,0.42171679548439134
1,ResDyNet-Random,12,144,3.2820182499999646,0.32577581617266843
1,ResDyNet-Random,13,156,3.554611457977444,0.33992138483602874
1,ResDyNet-Random,14,168,3.827388332982082,0.3664731143872137
1,ResDyNet-Random,15,180,4.100102665979648,0.38415905369765857
1,ResDyNet-Random,16,192,4.3722991249815095,0.4218093591798098
1,ResDyNet-Random,17,204,4.646829915989656,0.3860082214394382
1,ResDyNet-Random,18,216,4.9190427499997895,0.37021589219896395
1,ResDyNet-Random,19,228,5.19188899997971,0.3827986737750616
1,ResDyNet-Random,20,240,5.464540374989156,0.4096824030075843
1,ResDyNet-Random,21,252,5.752086915977998,0.4365010829242282
1,ResDyNet-Random,22,264,6.025603749993024,0.38162056833259594
1,ResDyNet-Random,23,276,6.315532082982827,0.41974922103108936
1,ResDyNet-Random,24,288,6.588615040993318,0.3953214799488549
1,ResDyNet-Random,25,300,6.862297499988927,0.41155508874352004
1,ResDyNet-Random,26,312,7.134822665975662,0.4688474866937795
1,ResDyNet-Random,27,324,7.406667374976678,0.4133564833721421
1,ResDyNet-Random,28,336,7.6803094999922905,0.3959524745598607
1,ResDyNet-Random,29,348,7.952514582982985,0.388963992746364
1,ResDyNet-Random,30,360,8.224725957988994,0.41026346860579505
1,ResDyNet-Random,31,372,8.496923082973808,0.4132866382356903
1,ResDyNet-Random,32,384,8.769290749973152,0.4254157730143947
1,ResDyNet-Random,33,396,9.041040790994884,0.4249504684917791
1,ResDyNet-Random,34,408,9.313616415980505,0.41534515876499395
1,ResDyNet-Random,35,420,9.586689957999624,0.48213829501162575
1,ResDyNet-Random,36,432,9.860204415977933,0.4334365029748471
1,ResDyNet-Random,37,444,10.135460999998031,0.4333170319980592
1,ResDyNet-Random,38,456,10.409757915971568,0.40034068577572457
1,ResDyNet-Random,39,468,10.68389891597326,0.3910027069315019
1,ResDyNet-Random,40,480,10.958505832997616,0.39910115802603185
1,ResDyNet-Random,41,492,11.230821457982529,0.40320101575391426
1,ResDyNet-Random,42,504,11.503211374976672,0.3894153547274571
1,ResDyNet-Random,43,516,11.775376332981978,0.38068002083020974
1,ResDyNet-Random,44,528,12.047447499993723,0.3906247299000392
1,ResDyNet-Random,45,540,12.320105124992551,0.37812994072147144
1,ResDyNet-Random,46,552,12.592827374988701,0.364513549627262
1,ResDyNet-Random,47,564,12.864256290980848,0.35411756847280357
1,ResDyNet-Random,48,576,13.136280374979833,0.4439321640848587
1,ResDyNet-Random,49,588,13.408245665981667,0.407033807144687
1,ResDyNet-Random,50,600,13.6810219999752,0.3397560745700002
1,ResDyNet-Random,51,612,13.954088249971392,0.32953319059089187
1,ResDyNet-Random,52,624,14.228376999992179,0.3113107847442607
1,ResDyNet-Random,53,636,14.50316058297176,0.29802743112132335
1,ResDyNet-Random,54,648,14.777163957973244,0.30815770477201215
1,ResDyNet-Random,55,660,15.059373249998316,0.3542680633479965
1,ResDyNet-Random,56,672,15.332109749986557,0.29556695836309804
1,ResDyNet-Random,57,684,15.604064874991309,0.3891211944943456
1,ResDyNet-Random,58,696,15.875527665979462,0.27796700071461744
1,ResDyNet-Random,59,708,16.147457790997578,0.2942522857578579
1,ResDyNet-Random,60,720,16.419644665991655,0.3635399786432264
1,ResDyNet-LinearInit,0,0,0.0,0.5877139302058413
1,ResDyNet-LinearInit,1,12,0.2721444579947274,0.4935799408561637
1,ResDyNet-LinearInit,2,24,0.543356208014302,0.39071510305765816
1,ResDyNet-LinearInit,3,36,0.8163016669859644,0.3620844377904501
1,ResDyNet-LinearInit,4,48,1.0885953329852782,0.3681913634424829
1,ResDyNet-LinearInit,5,60,1.361811457987642,0.34882301649414654
1,ResDyNet-LinearInit,6,72,1.6553779579990078,0.2690949482799804
1,ResDyNet-LinearInit,7,84,1.9285040829854552,0.32965014870553055
1,ResDyNet-LinearInit,8,96,2.203366375004407,0.3942067323693826
1,ResDyNet-LinearInit,9,108,2.4760448329907376,0.3789753519977592
1,ResDyNet-LinearInit,10,120,2.747364083013963,0.37634265425816027
1,ResDyNet-LinearInit,11,132,3.0186620420136023,0.3939237636611874
1,ResDyNet-LinearInit,12,144,3.290297166997334,0.36599468769359333
1,ResDyNet-LinearInit,13,156,3.561672624986386,0.3640112059934774
