training_horizon,seed,model,epoch,train_loss,val_loss,val_rmse,val_nrmse,val_nrmse_percent,wall_time_sec
5,0,ResDyNet,0,1.1525879324908668,1.1334957954549483,1.0646575954056539,1.0791063483132988,107.91063483132987,0.026531832991167903
5,0,Plain,0,1.0089536590235764,0.9759280232658591,0.9878906939868697,1.001297622748543,100.1297622748543,0.054182291991310194
5,0,ResDyNet,1,0.10127879653137258,0.007301827775423768,0.08545073303034778,0.08661040777710258,8.661040777710257,0.5773992920003366
5,0,Plain,1,0.3191495993940226,0.032390104009773255,0.17997250903894532,0.18241496408223257,18.241496408223256,0.6063415829848964
5,0,ResDyNet,2,0.004888979657036603,0.002925643566817569,0.05408921858205726,0.05482327783043182,5.482327783043182,1.1319695829879493
5,0,Plain,2,0.02173612516698732,0.01656019612764892,0.1286864255764722,0.13043286346762728,13.043286346762727,1.1585174170031678
5,0,ResDyNet,3,0.0023185753189235384,0.0016604614679740313,0.040748760324383265,0.041301772646617746,4.130177264661775,1.6758138749864884
5,0,Plain,3,0.014436693794630308,0.012185607531913757,0.11038843930373214,0.1118865503304538,11.18865503304538,1.701968916982878
5,0,ResDyNet,4,0.001499601684148141,0.0012348951160452235,0.03514107448620807,0.035617983404485125,3.5617983404485125,2.2248905829910655
5,0,Plain,4,0.012004621291221217,0.01089759014861292,0.10439152335612753,0.10580824863299988,10.580824863299988,2.2525178749929182
5,0,ResDyNet,5,0.0010980130500338723,0.001077470997713397,0.0328248533540273,0.033270328215981686,3.3270328215981686,2.7702533330011647
5,0,Plain,5,0.010628196678235747,0.009925198053924687,0.09962528822505201,0.10097732965050976,10.097732965050977,2.796476874995278
5,0,ResDyNet,6,0.000868562833290023,0.000727643076523299,0.026974860083479563,0.027340943122520847,2.734094312252085,3.3198270830034744
5,0,Plain,6,0.009785755603003642,0.009348656440119358,0.09668845039672194,0.09800063521072594,9.800063521072595,3.3468386250024196
5,0,ResDyNet,7,0.0006968813496629483,0.0006705970736167545,0.025895889125819846,0.026247329161487067,2.6247329161487065,3.865754250000464
5,0,Plain,7,0.011529642082702069,0.022420367454297856,0.14973432289992114,0.15176640743368164,15.176640743368164,3.892378207994625
5,0,ResDyNet,8,0.0005871150558146204,0.0006310957798509419,0.025121619769651438,0.025462551988853048,2.5462551988853046,4.415310374984983
5,0,Plain,8,0.010300029654525932,0.004271976636598477,0.06536035982610926,0.06624738274611425,6.624738274611425,4.441962749988306
5,0,ResDyNet,9,0.0005445896904271705,0.0005862655773908786,0.024212921702902325,0.024541521737661942,2.454152173766194,4.963418083003489
5,0,Plain,9,0.0033606553610730865,0.0087116728586648,0.09333634264671399,0.0946030351101175,9.46030351101175,4.990124208008638
5,0,ResDyNet,10,0.0005093677741377687,0.0006919685605331626,0.02630529529454407,0.026662291490798774,2.6662291490798773,5.511788208008511
5,0,Plain,10,0.00914254803049607,0.005376851661425445,0.07332701863178023,0.07432215920865386,7.432215920865386,5.536727917002281
5,0,ResDyNet,11,0.0005100794105277645,0.0005524778345835037,0.02350484704446093,0.02382383760869769,2.382383760869769,6.053088791988557
5,0,Plain,11,0.009468399182055278,0.007266467308303553,0.085243576346277,0.08640043971428032,8.640043971428032,6.084784707985818
