training_horizon,model,prediction_step,nrmse_percent_mean,nrmse_percent_std
10,Plain,1,16.14352017269845,0.0
10,Plain,2,19.73592062137848,0.0
10,Plain,3,21.15657729018683,0.0
10,Plain,4,22.68624788287704,0.0
10,Plain,5,23.965936321027602,0.0
10,Plain,6,25.266411286146106,0.0
10,Plain,7,25.999033887266556,0.0
10,Plain,8,26.403906469540363,0.0
10,Plain,9,26.644306097297704,0.0
10,Plain,10,26.811806229590164,0.0
10,Plain,11,26.92771300893729,0.0
10,Plain,12,26.995097770198317,0.0
10,Plain,13,27.029571887411482,0.0
10,Plain,14,27.064417216781234,0.0
10,Plain,15,27.105980179325357,0.0
10,Plain,16,27.155829248917435,0.0
10,Plain,17,27.209328694440472,0.0
10,Plain,18,27.25878901375847,0.0
10,Plain,19,27.29990082638722,0.0
10,Plain,20,27.331221859751384,0.0
10,Plain,21,27.35351751957059,0.0
10,Plain,22,27.36750670187137,0.0
10,Plain,23,27.384754473567583,0.0
10,Plain,24,27.404232965124777,0.0
10,Plain,25,27.412256885166126,0.0
10,Plain,26,27.408096320006383,0.0
10,Plain,27,27.419323775181446,0.0
10,Plain,28,27.429310922563488,0.0
10,Plain,29,27.44417629476313,0.0
10,Plain,30,27.45911700719104,0.0
10,Plain,31,27.47611859871625,0.0
10,Plain,32,27.48287097559033,0.0
10,Plain,33,27.486814759366588,0.0
10,Plain,34,27.49208061936259,0.0
10,Plain,35,27.502323827538312,0.0
10,Plain,36,27.515365096821697,0.0
10,Plain,37,27.542058715300893,0.0
10,Plain,38,27.56701713312107,0.0
10,Plain,39,27.592326204256572,0.0
10,Plain,40,27.619060732333256,0.0
10,Plain,41,27.63726517538978,0.0
10,Plain,42,27.670290728837095,0.0
10,Plain,43,27.703332970089104,0.0
10,Plain,44,27.725738973002017,0.0
10,Plain,45,27.73878603907431,0.0
10,Plain,46,27.745077731633913,0.0
10,Plain,47,27.76855377697206,0.0
10,Plain,48,27.77369304560312,0.0
10,Plain,49,27.76618648913338,0.0
10,Plain,50,27.75368279759693,0.0
10,Plain,51,27.73368162289741,0.0
10,Plain,52,27.722324207141952,0.0
10,Plain,53,27.712983452191335,0.0
10,Plain,54,27.70461923992493,0.0
10,Plain,55,27.69799309099078,0.0
10,Plain,56,27.693684969303924,0.0
10,Plain,57,27.691738926101042,0.0
10,Plain,58,27.689520676594103,0.0
10,Plain,59,27.689206918982663,0.0
10,Plain,60,27.69103061960907,0.0
10,Plain,61,27.69370990871014,0.0
10,Plain,62,27.701884974908033,0.0
10,Plain,63,27.713944873113146,0.0
10,Plain,64,27.729077879284617,0.0
10,Plain,65,27.745235942281468,0.0
10,Plain,66,27.76198196361242,0.0
10,Plain,67,27.77743118307462,0.0
10,Plain,68,27.78905632740196,0.0
10,Plain,69,27.799062074748193,0.0
10,Plain,70,27.80768139092675,0.0
10,Plain,71,27.81449021420988,0.0
10,Plain,72,27.823450332323645,0.0
10,Plain,73,27.83233652971517,0.0
10,Plain,74,27.839012209084693,0.0
10,Plain,75,27.84287803245845,0.0
10,Plain,76,27.843999392357336,0.0
10,Plain,77,27.84316267080867,0.0
10,Plain,78,27.834316245668564,0.0
10,Plain,79,27.82120862410485,0.0
10,Plain,80,27.807192335558014,0.0
10,Plain,81,27.792809441290835,0.0
10,Plain,82,27.778118156338504,0.0
10,Plain,83,27.77107696768872,0.0
10,Plain,84,27.761924480198346,0.0
10,Plain,85,27.750754693789148,0.0
10,Plain,86,27.73861074520397,0.0
10,Plain,87,27.737884749438418,0.0
10,Plain,88,27.736769906016956,0.0
10,Plain,89,27.732364656033475,0.0
10,Plain,90,27.726403068884654,0.0
10,Plain,91,27.72038701312992,0.0
10,Plain,92,27.71328695360935,0.0
10,Plain,93,27.71181328493642,0.0
10,Plain,94,27.7124603459299,0.0
10,Plain,95,27.713193212942613,0.0
10,Plain,96,27.71192747391543,0.0
10,Plain,97,27.71436840625787,0.0
10,Plain,98,27.721167731363796,0.0
10,Plain,99,27.72745641945893,0.0
10,Plain,100,27.734750756814318,0.0
10,ResDyNet,1,9.189583073880694,0.0
10,ResDyNet,2,10.589054080996116,0.0
10,ResDyNet,3,8.577612746281423,0.0
10,ResDyNet,4,8.049259121846934,0.0
10,ResDyNet,5,7.594591328120292,0.0
10,ResDyNet,6,7.312850794498865,0.0
10,ResDyNet,7,7.038550069027498,0.0
10,ResDyNet,8,6.897181991930619,0.0
10,ResDyNet,9,6.764926908801552,0.0
10,ResDyNet,10,6.68777958066672,0.0
10,ResDyNet,11,6.589658086217815,0.0
10,ResDyNet,12,6.485529720374595,0.0
10,ResDyNet,13,6.407652162512085,0.0
10,ResDyNet,14,6.364012800547288,0.0
10,ResDyNet,15,6.3361427980714655,0.0
10,ResDyNet,16,6.315407043990371,0.0
10,ResDyNet,17,6.304978948884722,0.0
10,ResDyNet,18,6.299601173033909,0.0
10,ResDyNet,19,6.296817474867092,0.0
10,ResDyNet,20,6.2898761563778685,0.0
10,ResDyNet,21,6.281587802008093,0.0
10,ResDyNet,22,6.2793805776256875,0.0
10,ResDyNet,23,6.276386649564654,0.0
10,ResDyNet,24,6.258036517651278,0.0
10,ResDyNet,25,6.241588419039845,0.0
10,ResDyNet,26,6.236437126538945,0.0
10,ResDyNet,27,6.244655057265827,0.0
10,ResDyNet,28,6.2438098252817555,0.0
10,ResDyNet,29,6.230643233055397,0.0
10,ResDyNet,30,6.224465483209243,0.0
10,ResDyNet,31,6.217028254784508,0.0
10,ResDyNet,32,6.212887961150275,0.0
10,ResDyNet,33,6.212841571047768,0.0
