seed,model,abs_A,d_A,abs_B,d_B,abs_C,d_C,abs_D,d_D
0,N4SID-Joint,0.058299780469997856,0.02338185036685358,0.011825619067559525,1.461549548838245,0.0506434254936574,0.01804850328940793,0.008680863162640417,39095132104521.65
1,N4SID-Joint,0.08469145351384699,0.03396655832059566,0.0227785149004144,2.8152376620378003,0.03632684128317377,0.012946302664208105,0.004181126759584209,18830120916452.254
2,N4SID-Joint,0.08812789279625738,0.03534478493565894,0.02188459763091534,2.704756817485728,0.048904793415350145,0.017428882746790237,0.009113535930703045,41043717021541.86
3,N4SID-Joint,0.0886728346743983,0.03556334063776626,0.013619499337574103,1.6832584407221363,0.05155745331569206,0.018374248121867356,0.003690676221155517,16621328054341.137
4,N4SID-Joint,0.08609695793996405,0.03453025331080804,0.017300154588141,2.1381572489927576,0.04559474836933389,0.01624923586629644,0.01659741778514562,74748124552494.25
5,N4SID-Joint,0.08697418913907548,0.03488207776828288,0.017943274013441625,2.2176415364983266,0.04787076501183402,0.017060371634828837,0.02297873659848701,103487029582390.88
6,N4SID-Joint,0.07052373097943325,0.028284417398826017,0.008454566188679524,1.0449150550253374,0.03889412586794247,0.013861241648318635,0.003058327404959241,13773482161351.414
7,N4SID-Joint,0.09425986434358358,0.037804088212918606,0.015929617318956483,1.9687700806763326,0.05985957418035497,0.02133299062939574,0.0022286083119425174,10036759563219.111
8,N4SID-Joint,0.04450988328856076,0.017851240991118653,0.010647459119226843,1.3159386399202835,0.03501076293213436,0.012477273481914181,0.012309802858333635,55438423565795.625
9,N4SID-Joint,0.08919830501851522,0.03577408703954189,0.014499062632417613,1.791965251706748,0.07537223393126319,0.026861453362960194,0.018535338447657215,83475743326055.06
