controller,k,t,reference,y,u,tracking_error,x1_simulator_only,x2_simulator_only,mpc_cost,qp_status,solve_time_sec
linear_mpc,0,0.0,0.45,0.36,0.8,-0.09000000000000002,0.15339991481771487,0.38006772180048753,0.2927891796769656,optimal,0.0322335840028245
linear_mpc,1,1.0,0.4532271828193923,0.38006772180048753,0.6993658260984366,-0.07315946101890475,0.16376788376718568,0.41363595185108976,0.10100553486621114,optimal,0.00922991699189879
linear_mpc,2,2.0,0.4566251288143178,0.41363595185108976,0.5580576534136874,-0.04298917696322807,0.13793744827041385,0.4375478621547322,0.014054601062544804,optimal,0.0094307090039365
linear_mpc,3,3.0,0.46019306991895015,0.4375478621547322,0.5444088362235273,-0.022645207764217967,0.12176252419270675,0.4479376984996247,0.0017880171115970055,optimal,0.009011916001327336
linear_mpc,4,4.0,0.4639300291527885,0.4479376984996247,0.5759881174532576,-0.0159923306531638,0.12056661646084288,0.4528884977656251,0.001654739428007587,optimal,0.008731957990676165
linear_mpc,5,5.0,0.4678347957998081,0.4528884977656251,0.5925754108716921,-0.014946298034182959,0.12353568807138021,0.4577859422044747,0.000983824551692643,optimal,0.008701665996341035
linear_mpc,6,6.0,0.4719058995462207,0.4577859422044747,0.5939370723962805,-0.014119957341745981,0.1252852347824391,0.4632133827478134,0.0010011160676237749,optimal,0.008643667009891942
linear_mpc,7,7.0,0.4761415836242683,0.4632133827478134,0.5954073121685619,-0.01292820087645491,0.1264648369279517,0.46864775338367887,0.0010896613825607411,optimal,0.009125999989919364
linear_mpc,8,8.0,0.480539777017574,0.46864775338367887,0.6011985112622228,-0.011892023633895132,0.1282978529743222,0.4741544718138345,0.0011647029571143035,optimal,0.010867915989365429
linear_mpc,9,9.0,0.48509806579242754,0.4741544718138345,0.6069261487436007,-0.010943593978593014,0.13044810778650942,0.4799620820671501,0.001227281926988787,optimal,0.009922832978190854
linear_mpc,10,10.0,0.48981366362899115,0.4799620820671501,0.6099638276243993,-0.009851581561841072,0.1321822082208842,0.4859754269594748,0.0013177248928304267,optimal,0.010063666995847598
linear_mpc,11,11.0,0.49468338163679576,0.4859754269594748,0.6124708632953342,-0.00870795467732094,0.13359812202069918,0.49198090992103194,0.001453179222477342,optimal,0.043777207989478484
linear_mpc,12,12.0,0.4997035975500543,0.49198090992103194,0.6171765933269546,-0.00772268762902234,0.13533592498079583,0.498002924449262,0.001591503215722101,optimal,0.008843624993460253
linear_mpc,13,13.0,0.5048702244102483,0.498002924449262,0.6236183592324783,-0.0068672999609863394,0.13762064814848152,0.5042660810935128,0.0017041398091720225,optimal,0.008974708995083347
linear_mpc,14,14.0,0.5101786788561431,0.5042660810935128,0.6293062464916415,-0.005912597762630312,0.14002787373073006,0.510889185526978,0.001802487334192239,optimal,0.008758458017837256
linear_mpc,15,15.0,0.5156238491548286,0.510889185526978,0.6332076179532695,-0.004734663627850577,0.14211627233059204,0.5177575530381618,0.0019245812870128157,optimal,0.008990041998913512
linear_mpc,16,16.0,0.5212000631215598,0.5177575530381618,0.6367619578656439,-0.0034425100833979094,0.14397218823132296,0.524703486709261,0.0020813125926131535,optimal,0.008800624986179173
linear_mpc,17,17.0,0.5269010560910329,0.524703486709261,0.6416541786551859,-0.0021975693817718467,0.1460083159201366,0.5317168089505463,0.00224500992806961,optimal,0.00906824998673983
linear_mpc,18,18.0,0.532719939118252,0.5317168089505463,0.6476907823408959,-0.0010031301677057014,0.14839714856691405,0.5389234942233804,0.0023920019528871914,optimal,0.008741625002585351
linear_mpc,19,19.0,0.5386491676032537,0.5389234942233804,0.6533651188949445,0.00027432662012671916,0.15089896416943974,0.546401709583368,0.002528377211667938,optimal,0.008840708003845066
linear_mpc,20,20.0,0.5446805105506033,0.546401709583368,0.6579266015300727,0.0017211990327646864,0.15322330093956033,0.5540894799479033,0.002679938099700583,optimal,0.008633999997982755
linear_mpc,21,21.0,0.5508050206916812,0.5540894799479033,0.6621473826778568,0.0032844592562220054,0.1553869510265429,0.5618781608192831,0.0028563338905079516,optimal,0.00852579201455228
linear_mpc,22,22.0,0.5570130057152376,0.5618781608192831,0.6670881216204304,0.004865155104045504,0.1576329145365343,0.5697429727826571,0.003040158642780827,optimal,0.008498042006976902
linear_mpc,23,23.0,0.563294000869423,0.5697429727826571,0.6727371970975736,0.006448971913234014,0.16008809297124557,0.5777460353408046,0.0032131123890719866,optimal,0.008611917000962421
linear_mpc,24,24.0,0.5696367432163632,0.5777460353408046,0.6782066509375522,0.008109292124441447,0.1626236802401868,0.5859326444777802,0.0033770427564601534,optimal,0.008535999979358166
linear_mpc,25,25.0,0.576029147838208,0.5859326444777802,0.682958115810097,0.009903496639572129,0.16505085564887192,0.594266436365208,0.003548456907190375,optimal,0.008511791995260864
linear_mpc,26,26.0,0.5824582863113036,0.594266436365208,0.6873750504105682,0.011808150053904454,0.16735281990740133,0.6026738546984909,0.0037350381764827043,optimal,0.00887437499477528
linear_mpc,27,27.0,0.5889103677825196,0.6026738546984909,0.6921080316149352,0.01376348691597129,0.16966533633789266,0.6111230662811237,0.003926239091412971,optimal,0.00877008298994042
linear_mpc,28,28.0,0.5953707229986503,0.6111230662811237,0.6972187423113353,0.015752343282473324,0.17207589093210626,0.61963594505901,0.004108498810586514,optimal,0.008557332999771461
linear_mpc,29,29.0,0.6018237916559671,0.61963594505901,0.7021974167123185,0.017812153403042874,0.17451790148834503,0.6282318599389386,0.004280747418837274,optimal,0.008799250004813075
linear_mpc,30,30.0,0.6082531134522177,0.6282318599389386,0.7066647454982532,0.019978746486720933,0.17686933345623418,0.6368838248919,0.004452524466688985,optimal,0.008869125013006851
linear_mpc,31,31.0,0.614641323237399,0.6368838248919,0.7107799421846467,0.022242501654501035,0.17909822077271056,0.6455366674010626,0.004629392089956109,optimal,0.008540834009181708
linear_mpc,32,32.0,0.6209701506722041,0.6455366674010626,0.7149238999051777,0.024566516728858567,0.18127213344240123,0.6541531172796333,0.004805384199879758,optimal,0.008687749999808148
linear_mpc,33,33.0,0.6272204248138828,0.6541531172796333,0.7191818243522408,0.026932692465750474,0.18344727149300835,0.6627277806857993,0.00497083767324368,optimal,0.008492249995470047
linear_mpc,34,34.0,0.6333720840580592,0.6627277806857993,0.723280237499839,0.02935569662774007,0.1855925471913829,0.671259217739673,0.0051227884129184525,optimal,0.008480167016386986
linear_mpc,35,35.0,0.6394041918714913,0.671259217739673,0.7269560065410876,0.031855025868181674,0.18763034107051102,0.6797213239501109,0.00526557678704238,optimal,0.008482417004415765
linear_mpc,36,36.0,0.6452949587545104,0.6797213239501109,0.7302328741136782,0.034426365195600495,0.1895217690225478,0.6880670851984935,0.0054028980685899685,optimal,0.008468249987345189
linear_mpc,37,37.0,0.6510217708725847,0.6880670851984935,0.7333087676435186,0.03704531432590874,0.1912891537944322,0.6962533921931594,0.005532095359994025,optimal,0.008574208011850715
linear_mpc,38,38.0,0.656561225793748,0.6962533921931594,0.7362741787260599,0.03969216639941142,0.19296491787861464,0.7042544995131484,0.005646808307451777,optimal,0.00877250000485219
linear_mpc,39,39.0,0.6618891757621457,0.7042544995131484,0.7390153045931052,0.04236532375100277,0.19454072374285714,0.7120519295010649,0.005742961676390352,optimal,0.008743666985537857
linear_mpc,40,40.0,0.6669807789272876,0.7120519295010649,0.7413568687734307,0.04507115057377731,0.1959711056625339,0.7196169963579531,0.005821058272419575,optimal,0.008686540997587144
linear_mpc,41,41.0,0.6718105589333729,0.7196169963579531,0.7432306654204688,0.04780643742458013,0.19721388885031,0.7269058162848369,0.005883441787819862,optimal,0.008648291986901313
linear_mpc,42,42.0,0.6763524732528619,0.7269058162848369,0.744698867162702,0.05055334303197501,0.19825854294990783,0.7338691697894753,0.0059303188976124665,optimal,0.008627749979496002
linear_mpc,43,43.0,0.6805799906229321,0.7338691697894753,0.7458542772148657,0.05328917916654319,0.19911964357296183,0.7404648680057984,0.00595849033612239,optimal,0.008532292005838826
linear_mpc,44,44.0,0.6844661779121722,0.7404648680057984,0.7467114497937957,0.055998690093626124,0.19980827806927293,0.7466606797077643,0.005963468798439083,optimal,0.008504291996359825
linear_mpc,45,45.0,0.6879837967074585,0.7466606797077643,0.747171773061138,0.058676883000305824,0.20030768339309424,0.7524258799115529,0.00594297407318395,optimal,0.008463417005259544
linear_mpc,46,46.0,0.6911054098670717,0.7524258799115529,0.7470907577157655,0.06132047004448116,0.20057471310105077,0.757719580606058,0.005898607758376078,optimal,0.008484417019644752
linear_mpc,47,47.0,0.6938034982353979,0.757719580606058,0.7464088527442834,0.06391608237066015,0.20057073909549963,0.7624878580020298,0.005833556480841187,optimal,0.009098834008909762
linear_mpc,48,48.0,0.6960505876567005,0.7624878580020298,0.7452178323576915,0.06643727034532931,0.20029467307716387,0.766674641692962,0.005748250972680691,optimal,0.008806958008790389
linear_mpc,49,49.0,0.6978193863601865,0.766674641692962,0.7436562401940428,0.06885525533277548,0.19977787369722508,0.7702363849571467,0.00563897390086351,optimal,0.008546875003958121
linear_mpc,50,50.0,0.6990829327156729,0.7702363849571467,0.7416417600451228,0.07115345224147385,0.19901968617535246,0.7731391284354667,0.005503853645717537,optimal,0.008692750008776784
linear_mpc,51,51.0,0.6998147532784129,0.7731391284354667,0.7390195653488048,0.07332437515705381,0.19798470979451963,0.7753431308804458,0.00534451568806285,optimal,0.008636499987915158
linear_mpc,52,52.0,0.6999890309529427,0.7753431308804458,0.7357946502017136,0.07535409992750308,0.1966547194399451,0.7768007612068516,0.005162571130240574,optimal,0.008625584014225751
linear_mpc,53,53.0,0.6995807830091036,0.7768007612068516,0.7320142223288697,0.07721997819774795,0.1950313254757653,0.7774650065748229,0.004958956134499764,optimal,0.008606249990407377
linear_mpc,54,54.0,0.6985660485787106,0.7774650065748229,0.7276689468208262,0.07889895799611224,0.19311478914315341,0.7772926203344762,0.004734863697183225,optimal,0.008844583004247397
