controller,k,t,reference,y,u,tracking_error,x1_simulator_only,x2_simulator_only,mpc_cost,qp_status,solve_time_sec
linear_mpc,0,0.0,0.45,0.36,0.8,-0.09000000000000002,0.15339991481771487,0.38006772180048753,0.545682963091748,optimal,0.010027624986832961
linear_mpc,1,1.0,0.4549084231151571,0.38006772180048753,0.8,-0.07484070131466958,0.18638882622008768,0.4193695700804377,0.1977415806443062,optimal,0.005776625010184944
linear_mpc,2,2.0,0.4633454224396901,0.4193695700804377,0.6454996065977461,-0.04397585235925244,0.16960096888122364,0.45529852750705413,0.02900214235185985,optimal,0.005772750009782612
linear_mpc,3,3.0,0.4752857791295526,0.45529852750705413,0.6273932904117324,-0.01998725162249848,0.15638992597364038,0.47958377280215203,0.003200037937183994,optimal,0.005454416997963563
linear_mpc,4,4.0,0.49065929129872093,0.47958377280215203,0.6858801564147773,-0.011075518496568904,0.16235575568352406,0.49949218091521536,0.005827078282710027,optimal,0.005606833001365885
resdynet_ltv_mpc,0,0.0,0.45,0.36,0.8,-0.09000000000000002,0.15339991481771487,0.38006772180048753,0.6246786192950818,optimal,0.006013290985720232
resdynet_ltv_mpc,1,1.0,0.4549084231151571,0.38006772180048753,0.8,-0.07484070131466958,0.18638882622008768,0.4193695700804377,0.2365508209058533,optimal,0.0056610000028740615
resdynet_ltv_mpc,2,2.0,0.4633454224396901,0.4193695700804377,0.6672952282186275,-0.04397585235925244,0.17452652528538418,0.45652455712346324,0.038570274307915924,optimal,0.005714291997719556
resdynet_ltv_mpc,3,3.0,0.4752857791295526,0.45652455712346324,0.6376609707366474,-0.018761222006089373,0.1613453742433508,0.48291586335486714,0.002969021665395501,optimal,0.005565291998209432
resdynet_ltv_mpc,4,4.0,0.49065929129872093,0.48291586335486714,0.6902190121652982,-0.007743427943853798,0.16598754239107735,0.504331576114587,0.0056426600133891594,optimal,0.0057775829918682575
