controller,k,t,reference,y,u,predicted_y0,stage_qp_cost,solve_time_sec,qp_status
linear,0,0.0,0.6,0.0,2.0,0.00029840773782768837,38.72522832924087,0.04478995897807181,optimal
linear,1,0.02,0.6,0.003945883724645941,2.0,0.0042433659651499415,32.391171949930914,0.03891845801263116,optimal
linear,2,0.04,0.6,0.015561078810889858,2.0,0.015821313668670043,27.658601196677008,0.04881441601901315,optimal
linear,3,0.06,0.6,0.034499338606407706,2.0,0.034818291804950566,23.098631919579944,0.0365321249992121,optimal
linear,4,0.08,0.6,0.060399288406718474,2.0,0.06068176131352223,18.83261146908404,0.03569783398415893,optimal
linear,5,0.1,0.6,0.09288643513282971,2.0,0.09315592604415851,14.940105677413644,0.03526062500895932,optimal
linear,6,0.12,0.6,0.1315751496290345,2.0,0.1317997342090832,11.49201873866059,0.03597124997759238,optimal
linear,7,0.14,0.6,0.17607061488432862,1.6928414575227209,0.1763269500467761,8.53077595172777,0.03577133300132118,optimal
linear,8,0.16,0.6,0.22536472793023898,1.234831745120999,0.22562662388391305,6.093126233453345,0.03652662498643622,optimal
linear,9,0.18,0.6,0.2775745054693393,0.7421158741528524,0.27782198717845324,4.172318876120058,0.052120374981313944,optimal
linear,10,0.2,0.6,0.3305172169526161,0.28684929594871256,0.3307971670908111,2.744734649823585,0.03686345898313448,optimal
linear,11,0.22,0.6,0.38209916407340505,-0.09040693250376787,0.3823795315554358,1.7529294681554335,0.036872042022878304,optimal
linear,12,0.24,0.6,0.4305408939104944,-0.3716668353590426,0.43081139987064054,1.1116741767048828,0.0369818749895785,optimal
linear,13,0.26,0.6,0.4744863020507123,-0.5544027358145989,0.47479274426651036,0.7295704319711136,0.037246584019158036,optimal
linear,14,0.28,0.6,0.5130313506362649,-0.645467431379151,0.5133369785010228,0.523782924141824,0.03591087498352863,optimal
linear,15,0.3,0.6,0.5457012869121549,-0.6578355394327533,0.5459564059597491,0.42708755190001335,0.03645716700702906,optimal
linear,16,0.32,0.6,0.5723967323855388,-0.6073241806434169,0.57266643822837,0.39063614297952376,0.03627337497891858,optimal
linear,17,0.34,0.6,0.5933228883883539,-0.5101933055399547,0.5936109483613305,0.38243652671060596,0.051524249982321635,optimal
linear,18,0.36,0.6,0.6089139161689497,-0.38190217478500194,0.6091891580469426,0.3836551529061379,0.0360791249840986,optimal
linear,19,0.38,0.6,0.6197601022273709,-0.2362721443107732,0.6200421256458055,0.385233079636405,0.03616866600350477,optimal
linear,20,0.4,0.6,0.6265420578466274,-0.08498312994800275,0.6268507401519053,0.38381692045621735,0.03621495800325647,optimal
linear,21,0.42,0.6,0.6299745582686374,0.06296269426212456,0.6302806938051962,0.3788634078396177,0.03592970801400952,optimal
linear,22,0.44,0.6,0.630761902053762,0.2007512153281877,0.6310695806921047,0.37157985987906145,0.03609041598974727,optimal
linear,23,0.46,0.6,0.6295645918556645,0.3237636330327047,0.6298754691258585,0.36319255832976355,0.03605666698422283,optimal
linear,24,0.48,0.6,0.6269760842885888,0.42929696386337524,0.6272905202001068,0.3546386600739199,0.03795845899730921,optimal
linear,25,0.5,0.6,0.6235087678952084,0.5162759806397204,0.6238222177311202,0.34643625866925776,0.03938004100928083,optimal
linear,26,0.52,0.6,0.6195877498875063,0.5848942899642519,0.619892739874181,0.33876348422138447,0.04968858297797851,optimal
linear,27,0.54,0.6,0.6155509008973421,0.636239712261992,0.6158442777084908,0.33158156086343027,0.03636616701260209,optimal
linear,28,0.56,0.6,0.6116534743247453,0.6720138947542729,0.6119383071246738,0.3247603155445787,0.035837374976836145,optimal
linear,29,0.58,0.6,0.6080758203044857,0.6943218496787581,0.6083573363791452,0.31818381785755523,0.03548287501325831,optimal
linear,30,0.6,0.6,0.6049330816239934,0.7054693205652659,0.6052150305774904,0.3118027376178181,0.0357316670124419,optimal
linear,31,0.62,0.6,0.6022859463605235,0.707780613987226,0.6025697057280641,0.30564295651822354,0.036118167015956715,optimal
linear,32,0.64,0.6,0.6001516197591713,0.7034574017416316,0.6004370179894656,0.299787607146415,0.03589283401379362,optimal
linear,33,0.66,0.6,0.5985143305265846,0.6944852302807014,0.5988007147050002,0.29434920046563307,0.038248458004090935,optimal
